0.083,0.082,0.060,0.050,0.046,0.046,0.044,0.041,0.040,0.040
0.109,0.103,0.056,0.052,0.043,0.041,0.040,0.037,0.027,0.022
0.059,0.034,0.032,0.031,0.030,0.027,0.026,0.024,0.023,0.022
0.053,0.042,0.036,0.019,0.018,0.011,0.010,0.010,0.010,0.009
0.055,0.032,0.030,0.028,0.027,0.027,0.022,0.022,0.022,0.022
0.096,0.056,0.023,0.023,0.020,0.019,0.017,0.016,0.015,0.013
0.080,0.035,0.027,0.024,0.023,0.021,0.018,0.017,0.017,0.016
0.094,0.067,0.030,0.026,0.025,0.022,0.021,0.020,0.020,0.019
0.099,0.085,0.031,0.030,0.024,0.021,0.017,0.017,0.016,0.015
0.087,0.069,0.060,0.031,0.031,0.025,0.024,0.024,0.022,0.021
